0.0000	-1.0000	-0.8000	-0.6000	-0.4000	-0.2000	0.0000	0.2000	0.4000	0.6000	0.8000	1.0000
-1.0000	1.2667	1.2613	1.2559	1.2505	1.2450	1.2396	1.2341	1.2287	1.2232	1.2178	1.2124
-0.8000	1.2725	1.2672	1.2617	1.2563	1.2508	1.2454	1.2399	1.2345	1.2290	1.2236	1.2182
-0.6000	1.2773	1.2719	1.2665	1.2610	1.2556	1.2501	1.2446	1.2391	1.2337	1.2283	1.2229
-0.4000	1.2810	1.2756	1.2702	1.2647	1.2593	1.2538	1.2483	1.2428	1.2373	1.2319	1.2265
-0.2000	1.2838	1.2784	1.2730	1.2675	1.2620	1.2565	1.2510	1.2455	1.2401	1.2346	1.2292
0.0000	1.2858	1.2804	1.2749	1.2694	1.2639	1.2584	1.2529	1.2474	1.2419	1.2365	1.2310
0.2000	1.2870	1.2815	1.2761	1.2706	1.2651	1.2596	1.2540	1.2485	1.2430	1.2375	1.2321
0.4000	1.2875	1.2820	1.2766	1.2710	1.2655	1.2600	1.2545	1.2489	1.2434	1.2380	1.2325
0.6000	1.2874	1.2819	1.2764	1.2709	1.2654	1.2598	1.2543	1.2488	1.2432	1.2378	1.2323
0.8000	1.2867	1.2813	1.2758	1.2703	1.2647	1.2592	1.2536	1.2481	1.2425	1.2370	1.2316
1.0000	1.2857	1.2802	1.2747	1.2692	1.2636	1.2581	1.2525	1.2469	1.2414	1.2359	1.2304
