0.0000	-1.0000	-0.8000	-0.6000	-0.4000	-0.2000	0.0000	0.2000	0.4000	0.6000	0.8000	1.0000
-1.0000	1.4406	1.4371	1.4331	1.4286	1.4235	1.4179	1.4118	1.4054	1.3985	1.3912	1.3837
-0.8000	1.4512	1.4479	1.4439	1.4394	1.4344	1.4288	1.4229	1.4164	1.4096	1.4025	1.3949
-0.6000	1.4603	1.4570	1.4531	1.4487	1.4437	1.4383	1.4324	1.4260	1.4193	1.4121	1.4047
-0.4000	1.4680	1.4648	1.4609	1.4566	1.4517	1.4463	1.4404	1.4341	1.4274	1.4204	1.4130
-0.2000	1.4743	1.4712	1.4674	1.4631	1.4583	1.4529	1.4471	1.4409	1.4343	1.4273	1.4200
0.0000	1.4794	1.4763	1.4726	1.4683	1.4636	1.4583	1.4526	1.4464	1.4399	1.4329	1.4257
0.2000	1.4833	1.4802	1.4766	1.4724	1.4677	1.4625	1.4568	1.4507	1.4443	1.4374	1.4302
0.4000	1.4861	1.4831	1.4795	1.4754	1.4708	1.4656	1.4600	1.4540	1.4476	1.4408	1.4336
0.6000	1.4879	1.4850	1.4815	1.4774	1.4728	1.4677	1.4622	1.4562	1.4499	1.4431	1.4361
0.8000	1.4888	1.4859	1.4825	1.4785	1.4739	1.4689	1.4635	1.4576	1.4513	1.4446	1.4376
1.0000	1.4888	1.4860	1.4826	1.4787	1.4743	1.4693	1.4639	1.4581	1.4518	1.4452	1.4383
