0.0000	-1.0000	-0.8000	-0.6000	-0.4000	-0.2000	0.0000	0.2000	0.4000	0.6000	0.8000	1.0000
-1.0000	1.1201	1.1231	1.1257	1.1278	1.1295	1.1308	1.1318	1.1324	1.1327	1.1326	1.1323
-0.8000	1.1347	1.1379	1.1406	1.1429	1.1447	1.1462	1.1473	1.1481	1.1485	1.1486	1.1484
-0.6000	1.1478	1.1511	1.1539	1.1564	1.1584	1.1601	1.1613	1.1622	1.1628	1.1631	1.1630
-0.4000	1.1594	1.1628	1.1659	1.1684	1.1706	1.1724	1.1738	1.1749	1.1756	1.1760	1.1762
-0.2000	1.1696	1.1732	1.1764	1.1791	1.1814	1.1834	1.1849	1.1862	1.1871	1.1876	1.1879
0.0000	1.1784	1.1822	1.1855	1.1884	1.1909	1.1930	1.1947	1.1961	1.1971	1.1978	1.1983
0.2000	1.1860	1.1899	1.1934	1.1964	1.1991	1.2013	1.2032	1.2047	1.2059	1.2068	1.2074
0.4000	1.1923	1.1964	1.2000	1.2032	1.2060	1.2084	1.2104	1.2121	1.2135	1.2145	1.2152
0.6000	1.1975	1.2017	1.2055	1.2088	1.2118	1.2143	1.2165	1.2184	1.2199	1.2210	1.2219
0.8000	1.2015	1.2059	1.2099	1.2134	1.2165	1.2192	1.2215	1.2235	1.2251	1.2265	1.2275
1.0000	1.2045	1.2091	1.2132	1.2168	1.2201	1.2230	1.2254	1.2276	1.2294	1.2309	1.2321
